Id;DisplayName;CompanyName;Title;GivenName;MiddleName;FamilyName;PrintOnCheckName;PrimaryEmailAddr.Address;PrimaryPhone.FreeFormNumber;Mobile.FreeFormNumber;AlternatePhone.FreeFormNumber;Fax.FreeFormNumber;WebAddr.URI;BillAddr.Line1;BillAddr.Line2;BillAddr.Line3;BillAddr.Line4;BillAddr.City;BillAddr.CountrySubDivisionCode;BillAddr.PostalCode;BillAddr.Country;ShipAddr.Line1;ShipAddr.Line2;ShipAddr.Line3;ShipAddr.Line4;ShipAddr.City;ShipAddr.CountrySubDivisionCode;ShipAddr.PostalCode;ShipAddr.Country;Job;ParentRef.value;ParentRef.name;Level;SalesTermRef.value;PaymentMethodRef.value;PreferredDeliveryMethod;Taxable;DefaultTaxCodeRef.value;TaxExemptionReasonId;ResaleNum;BusinessNumber;GSTRegistrationType;PrimaryTaxIdentifier;Balance;BalanceWithJobs;OpenBalanceDate;CurrencyRef.value;Notes;Active;MetaData.CreateTime;MetaData.LastUpdatedTime
61;Abercrombie International Group;Abercrombie International Group;;Kristy;;Abercrombie;Abercrombie International Group;;;;;;;Boveney;;;;Windsor;;SL4 6QP;;Boveney;;;;Windsor;;SL4 6QP;;false;;;;;;None;false;;;;;;;0;0;;USD;;true;2026-03-31T22:40:48-07:00;2026-03-31T22:54:52-07:00
1;Adwin Ko;Ko International Ltd;;Adwin;;Ko;Adwin Ko;;604 999-9998;;;;;6412 av des Erables;;;;Vancouver;BC;V5M 5M5;;;;;;;;;;false;;;;;;None;false;;;;;;;1695.00;1695.00;;CAD;;true;2026-03-31T22:35:12-07:00;2026-04-01T01:33:36-07:00
58;Alex Blakey;Blakey Group;;Alex;;Blakey;Alex Blakey;;;;;;;Unit 345;;;;Lowestoft;;NR34 4ED;US;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;USD;;true;2026-03-31T22:40:38-07:00;2026-03-31T22:40:38-07:00
59;Andre Prefontaine;Andre's Bakeries;;Andre;;Prefontaine;Andre Prefontaine;;;;;;;St Peter's Rd;;;;Cambridgeshire;;PE29 7DS;HK;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;HKD;;true;2026-03-31T22:40:39-07:00;2026-03-31T22:40:39-07:00
60;Anilkumar Pillai;International Investment Advisors;;Anilkumar;;Pillai;Anilkumar Pillai;;;;;;;Studio 299;;;;Wimbledon;;SW97 0BA;CA;;;;;;;;;false;;;;;;None;false;;;;;;;4407.00;4407.00;;CAD;;true;2026-03-31T22:40:44-07:00;2026-05-03T09:12:10-07:00
3;Benjamin Yeung;Yeung's Architects;;Benjamin;;Yeung;Benjamin Yeung;;809 809-7777;;;;;4895 King Edward Ave.;;;;Barrie;ON;M2H 4G4;;;;;;;;;;false;;;;;;None;false;;;;;;;8249.00;8249.00;;CAD;;true;2026-03-31T22:35:18-07:00;2026-04-01T11:13:02-07:00
4;Cathy's Consulting Company;Cathy's Consulting Company;;Cathy;;Quon;Cathy's Consulting Company;;555-5555;;;;;317 Pearce St.;;;;Toronto;ON;M3E 3E4;;317 Pearce St.;;;;Toronto;ON;M3E 3E4;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:19-07:00;2026-04-01T11:10:48-07:00
64;Chadha's Consultants;Chadha's Consultants;;Bobby;;Chadha;Chadha's Consultants;;;;;;;The Meadows;;;;Nottinham;;Ng2 2EQ;;The Meadows;;;;Nottinham;;Ng2 2EQ;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-04-01T00:05:02-07:00;2026-04-01T00:05:02-07:00
6;Cheng-Cheng Lok;Lok's Management Co.;;Cheng-Cheng;;Lok;Cheng-Cheng Lok;;613 613-6131;;;;;320 Croydon Ave.;;;;Ottawa;ON;K5J 6T5;;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:19-07:00;2026-03-31T22:35:19-07:00
7;Clement's Cleaners;Clement's Cleaners;;Clement;;Nappoly;Clement's Cleaners;;514 878-8787;;;;;Salmonier Line;;;;Montreal;QC;H2S L1G;;Salmonier Line;;;;Montreal;QC;H2S L1G;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:19-07:00;2026-03-31T22:55:51-07:00
8;Ecker Designs;Ecker Designs;;Deanna;;Ecker;Ecker Designs;;212 112-2121;;;;;8227 Dunant Road;;;;Halifax;NS;B1B 2B0;;8227 Dunant Road;;;;Halifax;NS;B1B 2B0;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:20-07:00;2026-04-01T11:13:40-07:00
9;Froilan Rosqueta;;;Froilan;;Rosqueta;Froilan Rosqueta;;613 316-1116;;;;;9343 83 St. NW;;;;Ottawa;ON;K3R 3R2;;;;;;;;;;false;;;;;;None;false;;;;;;;0;0;;CAD;;true;2026-03-31T22:35:20-07:00;2026-03-31T22:35:20-07:00
