Id;DocNumber;TxnDate;CurrencyRef.value;ExchangeRate;PrivateNote;DepartmentRef.value;DepartmentRef.name;ClassRef.value;ClassRef.name;PaymentType;AccountRef.value;AccountRef.name;EntityRef.type;EntityRef.value;EntityRef.name;Credit;TotalAmt;TxnTaxDetail.TotalTax;TxnTaxDetail.TaxLine;PaymentMethodRef.value;PrintStatus;GlobalTaxCalculation;RemitToAddr.Line1;RemitToAddr.Line2;RemitToAddr.Line3;RemitToAddr.Line4;RemitToAddr.City;RemitToAddr.CountrySubDivisionCode;RemitToAddr.PostalCode;RemitToAddr.Country;LinkedTxn;MetaData.CreateTime;MetaData.LastUpdatedTime
171;2076;2026-04-24;CAD;1;;;;;;Check;38;Chequing;Vendor;44;Michelle Long;;500.00;;;;NotSet;TaxExcluded;;;;;;;;;;2026-05-03T08:58:20-07:00;2026-05-03T08:58:20-07:00
170;2075;2026-04-24;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;;;;NotSet;TaxExcluded;;;;;;;;;;2026-05-03T08:58:13-07:00;2026-05-03T08:58:13-07:00
169;2074;2026-04-24;CAD;1;;;;;;Check;38;Chequing;Vendor;29;City Water Co;;81.19;9.34;TaxRateRef=11 Pct=13 Base=71.85 Montant=9.34;;NotSet;TaxExcluded;;;;;;;;;;2026-05-03T08:58:06-07:00;2026-05-03T08:58:06-07:00
168;2073;2026-04-24;CAD;1;;;;;;Check;38;Chequing;Vendor;55;Town Electric & Gas Service;;243.54;28.02;TaxRateRef=11 Pct=13 Base=215.52 Montant=28.02;;NotSet;TaxExcluded;;;;;;;;;;2026-05-03T08:57:49-07:00;2026-05-03T08:57:49-07:00
167;2072;2026-04-24;CAD;1;;;;;;Check;38;Chequing;Vendor;42;Mark Howard;;1412.50;162.50;TaxRateRef=11 Pct=13 Base=1250.00 Montant=162.50;;NotSet;TaxExcluded;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;2026-05-03T08:57:33-07:00;2026-05-03T08:57:33-07:00
166;2071;2026-03-24;CAD;1;;;;;;Check;38;Chequing;Vendor;44;Michelle Long;;500.00;;;;NotSet;TaxExcluded;;;;;;;;;;2026-05-03T08:57:17-07:00;2026-05-03T08:57:17-07:00
165;2070;2026-03-24;CAD;1;;;;;;Check;38;Chequing;Vendor;57;Bank of AnyCity;;471.78;;;;NotSet;TaxExcluded;;;;;;;;;;2026-05-03T08:57:08-07:00;2026-05-03T08:57:08-07:00
164;2069;2026-03-24;CAD;1;;;;;;Check;38;Chequing;Vendor;29;City Water Co;;83.86;9.65;TaxRateRef=11 Pct=13 Base=74.21 Montant=9.65;;NotSet;TaxExcluded;;;;;;;;;;2026-05-03T08:56:57-07:00;2026-05-03T08:56:57-07:00
163;2068;2026-03-24;CAD;1;;;;;;Check;38;Chequing;Vendor;55;Town Electric & Gas Service;;229.14;26.36;TaxRateRef=11 Pct=13 Base=202.78 Montant=26.36;;NotSet;TaxExcluded;;;;;;;;;;2026-05-03T08:56:40-07:00;2026-05-03T08:56:40-07:00
162;2067;2026-03-24;CAD;1;;;;;;Check;38;Chequing;Vendor;42;Mark Howard;;1412.50;162.50;TaxRateRef=11 Pct=13 Base=1250.00 Montant=162.50;;NotSet;TaxExcluded;365 Lakeshore Dr;;;;Regina;SK;S6A 2P0;;;2026-05-03T08:56:27-07:00;2026-05-03T08:56:27-07:00
