Id;DocNumber;TxnDate;CurrencyRef.value;ExchangeRate;PrivateNote;DepartmentRef.value;DepartmentRef.name;ClassRef.value;ClassRef.name;CustomerRef.value;CustomerRef.name;DueDate;SalesTermRef.value;BillEmail.Address;TotalAmt;TxnTaxDetail.TotalTax;TxnTaxDetail.TaxLine;Balance;Deposit;GlobalTaxCalculation;ApplyTaxAfterDiscount;CustomerMemo.value;BillAddr.Line1;BillAddr.Line2;BillAddr.Line3;BillAddr.Line4;BillAddr.City;BillAddr.CountrySubDivisionCode;BillAddr.PostalCode;BillAddr.Country;ShipAddr.Line1;ShipAddr.Line2;ShipAddr.Line3;ShipAddr.Line4;ShipAddr.City;ShipAddr.CountrySubDivisionCode;ShipAddr.PostalCode;ShipAddr.Country;ShipDate;LinkedTxn;EmailStatus;PrintStatus;CustomField;MetaData.CreateTime;MetaData.LastUpdatedTime
178;1015;2026-04-01;CAD;1;;;;;;60;Anilkumar Pillai;2026-05-01;3;;4407.00;507.00;TaxRateRef=12 Pct=13 Base=3900.00 Montant=507.00;0;;TaxExcluded;;It's a pleasure doing business with you.  Remember, referrals are appreciated!;Studio 299;;;;Wimbledon;;SW97 0BA;CA;;;;;;;;;;Payment:181;NotSet;NotSet;;2026-05-03T09:04:58-07:00;2026-05-03T09:12:10-07:00
180;1016;2026-05-03;CAD;1;;;;;;60;Anilkumar Pillai;2026-06-02;3;;4407.00;507.00;TaxRateRef=12 Pct=13 Base=3900.00 Montant=507.00;4407.00;;TaxExcluded;;It's a pleasure doing business with you.  Remember, referrals are appreciated!;Studio 299;;;;Wimbledon;;SW97 0BA;CA;;;;;;;;;;;NotSet;NeedToPrint;;2026-05-03T09:08:02-07:00;2026-05-03T09:08:02-07:00
174;1012;2026-03-29;CAD;1;;;;;;5;Whitehead and Sons;2026-04-28;3;;1356.00;156.00;TaxRateRef=12 Pct=13 Base=1200.00 Montant=156.00;0;;TaxExcluded;;It's a pleasure doing business with you.  Remember, referrals are appreciated!;6 Cudmore Ln.;;;;Ottawa;ON;K2H 3J4;;6 Cudmore Ln.;;;;Ottawa;ON;K2H 3J4;;;Payment:179;NotSet;NotSet;;2026-05-03T09:01:14-07:00;2026-05-03T09:06:59-07:00
177;1014;2026-04-01;CAD;1;;;;;;5;Whitehead and Sons;2026-05-01;3;;3672.50;422.50;TaxRateRef=12 Pct=13 Base=3250.00 Montant=422.50;3672.50;;TaxExcluded;;It's a pleasure doing business with you.  Remember, referrals are appreciated!;6 Cudmore Ln.;;;;Ottawa;ON;K2H 3J4;;6 Cudmore Ln.;;;;Ottawa;ON;K2H 3J4;;;;NotSet;NotSet;;2026-05-03T09:04:24-07:00;2026-05-03T09:04:24-07:00
175;1013;2026-05-03;CAD;1;;;;;;5;Whitehead and Sons;2026-06-02;3;;1356.00;156.00;TaxRateRef=12 Pct=13 Base=1200.00 Montant=156.00;1356.00;;TaxExcluded;;It's a pleasure doing business with you.  Remember, referrals are appreciated!;6 Cudmore Ln.;;;;Ottawa;ON;K2H 3J4;;6 Cudmore Ln.;;;;Ottawa;ON;K2H 3J4;;;;NotSet;NeedToPrint;;2026-05-03T09:01:28-07:00;2026-05-03T09:01:28-07:00
128;1007;2026-02-05;CAD;1;;;;;;12;Hazel Robinson;2026-03-07;3;;8441.10;971.10;TaxRateRef=12 Pct=13 Base=7470.00 Montant=971.10;0;;TaxExcluded;;It's a pleasure doing business with you.  Remember, referrals are appreciated!;4234 King Cole Blvd.;;;;Toronto;ON;M3P 3M3;;;;;;;;;;;ReimburseCharge:83 | ReimburseCharge:84 | ReimburseCharge:85 | ReimburseCharge:87 | Payment:146;NotSet;NotSet;;2026-04-01T01:31:46-07:00;2026-04-01T13:00:23-07:00
125;1004;2025-10-24;CAD;1;;;;;;10;Lew Plumbing;2025-11-23;3;;3283.78;377.78;TaxRateRef=12 Pct=13 Base=2906.00 Montant=377.78;0;;TaxExcluded;;It's a pleasure doing business with you.  Remember, referrals are appreciated!;4202 England Road;;;;Ottawa;ON;K3K 2K3;;4202 England Road;;;;Ottawa;ON;K3K 2K3;;;ReimburseCharge:49 | ReimburseCharge:50 | ReimburseCharge:51 | ReimburseCharge:53 | Payment:149;NotSet;NotSet;;2026-04-01T01:22:37-07:00;2026-04-01T12:58:58-07:00
122;1001;2026-07-22;CAD;1;;;;;;8;Ecker Designs;2026-08-21;3;;14704.13;1691.63;TaxRateRef=12 Pct=13 Base=13012.50 Montant=1691.63;0;;TaxExcluded;;It's a pleasure doing business with you.  Remember, referrals are appreciated!;8227 Dunant Road;;;;Halifax;NS;B1B 2B0;;8227 Dunant Road;;;;Halifax;NS;B1B 2B0;;;Estimate:118 | Payment:152;NotSet;NotSet;;2026-04-01T01:19:30-07:00;2026-04-01T11:13:40-07:00
123;1002;2026-08-09;CAD;1;;;;;;65;Oxon - Holiday Party;2026-09-08;3;;10170.00;1170.00;TaxRateRef=12 Pct=13 Base=9000.00 Montant=1170.00;0;;TaxExcluded;;It's a pleasure doing business with you.  Remember, referrals are appreciated!;348 Worthington St. E.;;;;Toronto;ON;M4H 2H2;;348 Worthington St. E.;;;;Toronto;ON;M4H 2H2;;;Estimate:119 | Payment:151;NotSet;NotSet;;2026-04-01T01:20:06-07:00;2026-04-01T11:13:21-07:00
124;1003;2025-09-18;CAD;1;;;;;;3;Benjamin Yeung;2025-10-18;3;;4165.47;479.22;TaxRateRef=12 Pct=13 Base=3686.25 Montant=479.22;0;;TaxExcluded;;It's a pleasure doing business with you.  Remember, referrals are appreciated!;4895 King Edward Ave.;;;;Barrie;ON;M2H 4G4;;;;;;;;;;;ReimburseCharge:32 | ReimburseCharge:33 | ReimburseCharge:35 | ReimburseCharge:37 | ReimburseCharge:31 | Payment:150;NotSet;NotSet;;2026-04-01T01:21:29-07:00;2026-04-01T11:13:02-07:00
126;1005;2025-10-24;CAD;1;;;;;;66;Oxon - Retreat;2025-11-23;3;;9284.66;1068.16;TaxRateRef=12 Pct=13 Base=8216.50 Montant=1068.16;0;;TaxExcluded;;It's a pleasure doing business with you.  Remember, referrals are appreciated!;348 Worthington St. E.;;;;Toronto;ON;M4H 2H2;;348 Worthington St. E.;;;;Toronto;ON;M4H 2H2;;;ReimburseCharge:55 | ReimburseCharge:57 | ReimburseCharge:45 | ReimburseCharge:46 | ReimburseCharge:47 | Payment:148;NotSet;NotSet;;2026-04-01T01:23:11-07:00;2026-04-01T11:12:19-07:00
127;1006;2025-12-22;CAD;1;;;;;;4;Cathy's Consulting Company;2026-01-21;3;;10226.28;1176.48;TaxRateRef=12 Pct=13 Base=9049.80 Montant=1176.48;0;;TaxExcluded;;It's a pleasure doing business with you.  Remember, referrals are appreciated!;317 Pearce St.;;;;Toronto;ON;M3E 3E4;;317 Pearce St.;;;;Toronto;ON;M3E 3E4;;;ReimburseCharge:64 | ReimburseCharge:65 | ReimburseCharge:70 | ReimburseCharge:72 | ReimburseCharge:63 | Payment:147;NotSet;NotSet;;2026-04-01T01:26:03-07:00;2026-04-01T11:10:48-07:00
