Id;DisplayName;CompanyName;Title;GivenName;FamilyName;PrintOnCheckName;PrimaryEmailAddr.Address;PrimaryPhone.FreeFormNumber;Mobile.FreeFormNumber;Fax.FreeFormNumber;WebAddr.URI;BillAddr.Line1;BillAddr.Line2;BillAddr.Line3;BillAddr.Line4;BillAddr.City;BillAddr.CountrySubDivisionCode;BillAddr.PostalCode;BillAddr.Country;AcctNum;BusinessNumber;GSTRegistrationType;TaxIdentifier;TermRef.value;APAccountRef.value;Vendor1099;T4AEligible;T5018Eligible;BillRate;Balance;CurrencyRef.value;Active;MetaData.CreateTime;MetaData.LastUpdatedTime
23;Andrew Haberbosch;Andrew Haberbosch;;Andrew;Haberbosch;Andrew Haberbosch;;902-9020;555-4161;;;57 River Avenue;;;;Montreal;QC;H2E 9V3;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:35:58-07:00;2026-03-31T22:35:58-07:00
57;Bank of AnyCity;Bank of AnyCity;;Bank;AnyCity;Bank of AnyCity;;;;;;;;;;;;;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:32-07:00;2026-03-31T22:36:32-07:00
24;Brijesh Jain;Brijesh Power;;Brijesh;Jain;Brijesh Jain;;204-2040;613-6131;;;1015 - 13th Ave W;;;;Vancouver;BC;V8M 2X6;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:35:58-07:00;2026-03-31T22:35:58-07:00
25;Brittney Hughes;Brittney Ringme;;Brittney;Hughes;Brittney Hughes;;112-2121;204-2040;;;224 North River Rd;;;;Edmonton;AB;T4B 2R8;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:04-07:00;2026-03-31T22:36:04-07:00
26;Burc Gunes;Burc Heating & AC;;Burc;Gunes;Burc Gunes;;555-3060;809-7777;;;133 Sunnyside Blvd;;;;Vancouver;BC;V2H 1S0;;;;;;;;false;false;true;;0;CAD;true;2026-03-31T22:36:04-07:00;2026-03-31T22:36:04-07:00
27;Cass Hayden;Hayden Insurance Co;;Cass;Hayden;Cass Hayden;;555-6141;985-5895;;;1845 Base Line Rd;;;;Toronto;ON;M9J 7I0;;;;;XXXXX4589;;;false;true;false;;0;CAD;true;2026-03-31T22:36:04-07:00;2026-03-31T22:36:04-07:00
28;Celeste Hunter;Hunter Legal Services;;Celeste;Hunter;Celeste Hunter;;878-8787;902-9020;;;5455 Rue De Terrebonne;;;;Ottawa;ON;K5R 2K9;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:05-07:00;2026-03-31T22:36:05-07:00
29;City Water Co;City Water Co;;City;Co;City Water Co;;;;;;;;;;;;;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:05-07:00;2026-03-31T22:36:05-07:00
30;Colleen Grist;Grist Janitorial Services;;Colleen;Grist;Colleen Grist;;222-2622;555-9999;;;545 Mapleque Road;;;;Vancouver;BC;V7A 8F4;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:05-07:00;2026-03-31T22:36:05-07:00
41;Garcia's Event Space;Garcia's Event Space;;Lisa;Garcia;Garcia's Event Space;;553-2677;909-0900;;;27 Norman Wesley Way;;;;Montreal;QC;H3I 7K5;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:07-07:00;2026-03-31T23:32:37-07:00
31;Gina Han;Gina's Virtual Assistant Services;;Gina;Han;Gina Han;;514-9999;553-2677;;;640 Lake Heights Road;;;;Regina;SK;S0K 6O9;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:05-07:00;2026-03-31T22:36:05-07:00
62;Hall's Promotional International;Hall's Promotional International;;Christina;Hall;Hall's Promotional International;`;;;;;Shrewsbury Rd;;;;Shropshire;;SY7 9BX;;;;;;;;false;false;false;;0;HKD;true;2026-03-31T22:43:58-07:00;2026-03-31T23:25:02-07:00
32;Heather Gottas;Heather's Books;;Heather;Gottas;Heather Gottas;;613-6131;555-6141;;;1208 Bidwell St.;;;;Saint John;NB;E5Y 6X8;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:05-07:00;2026-03-31T22:36:05-07:00
33;Jacque Hudspeth;Jacque's Catering;;Jacque;Hudspeth;Jacque Hudspeth;;878-8787;999-9998;;;422 Worthington St. E.;;;;Vancouver;BC;V8X 6D9;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:05-07:00;2026-03-31T22:36:05-07:00
34;Jane Horton;Horton's Bartending & DJ Services;;Jane;Horton;Jane Horton;;555-9999;985-5895;;;8728 - 103 Street NW;;;;Winnipeg;MB;R5M 2E8;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:06-07:00;2026-03-31T22:36:06-07:00
35;Jennifer Hargreaves;Jennifer Hargreaves;;Jennifer;Hargreaves;Jennifer Hargreaves;;316-1116;514-9999;;;1308 Arbutus St.;;;;Regina;SK;S4T 2F2;;;;;;;;false;false;false;;226.00;CAD;true;2026-03-31T22:36:06-07:00;2026-04-01T00:10:14-07:00
36;Julie Hickey;Brakes by Hickey;;Julie;Hickey;Julie Hickey;;999-9998;112-2121;;;77 Huntley Street;;;;Ottawa;ON;K7U 3R5;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:06-07:00;2026-03-31T22:36:06-07:00
37;Kimberly Howell;Howell Drivelines;;Kimberly;Howell;Kimberly Howell;;555-4161;999-9998;;;19 McLaughlin Cres.;;;;Winnipeg;MB;R2F 2Q2;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:06-07:00;2026-03-31T22:36:06-07:00
38;Kristina Gibson;Gibson Printing;;Kristina;Gibson;Kristina Gibson;;809-7777;316-1116;;;304 Champlain Street;;;;Montreal;QC;H2G 4R0;;;;;;;;false;false;false;;508.51;CAD;true;2026-03-31T22:36:07-07:00;2026-04-01T00:08:59-07:00
39;Kristina Holmgren;Holmgren and Sons;;Kristina;Holmgren;Kristina Holmgren;;514-9999;555-3060;;;257 Newfoundland Dr;;;;Toronto;ON;M8W 7A9;;;;;;;;false;false;false;;0;CAD;true;2026-03-31T22:36:07-07:00;2026-03-31T22:36:07-07:00
