Section;Type de ligne;Date;Date (Id);Transaction Type;Transaction Type (Id);#;Name;Name (Id);Memo/Description;Split;Split (Id);Amount;Balance
Chequing;Entête;Chequing;38;;;;;;;;;;
Chequing;Donnée;Beginning Balance;;;;;;;;;;;-4879.42
Chequing;Donnée;2026-01-04;;Payment;147;;Cathy's Consulting Company;4;;Accounts Receivable;32;10226.28;5346.86
Chequing;Donnée;2026-01-11;;Cheque Expense;77;2047;City Water Co;29;;-Split-;;-84.70;5262.16
Chequing;Donnée;2026-01-11;;Cheque Expense;75;2045;Mark Howard;42;;-Split-;;-1412.50;3849.66
Chequing;Donnée;2026-01-11;;Cheque Expense;76;2046;Town Electric & Gas Service;55;;-Split-;;-254.06;3595.60
Chequing;Donnée;2026-01-16;;Cheque Expense;78;2048;Bank of AnyCity;57;;-Split-;;-471.78;3123.82
Chequing;Donnée;2026-01-26;;Cheque Expense;82;2049;Kristina Gibson;38;;-Split-;;-1546.69;1577.13
Chequing;Donnée;2026-01-26;;Cheque Expense;91;2054;Bank of AnyCity;57;;-Split-;;-1000.00;577.13
Chequing;Donnée;2026-02-05;;Cheque Expense;86;2050;Jacque Hudspeth;33;;-Split-;;-4237.50;-3660.37
Chequing;Donnée;2026-02-11;;Cheque Expense;88;2051;Mark Howard;42;;-Split-;;-1412.50;-5072.87
Chequing;Donnée;2026-02-11;;Cheque Expense;89;2052;Town Electric & Gas Service;55;;-Split-;;-238.28;-5311.15
Chequing;Donnée;2026-02-11;;Cheque Expense;90;2053;City Water Co;29;;-Split-;;-76.98;-5388.13
Chequing;Donnée;2026-02-16;;Cheque Expense;94;2055;Bank of AnyCity;57;;-Split-;;-1000.00;-6388.13
Chequing;Donnée;2026-02-16;;Cheque Expense;95;2056;Bank of AnyCity;57;;-Split-;;-471.78;-6859.91
Chequing;Donnée;2026-02-25;;Payment;146;;Hazel Robinson;12;;Accounts Receivable;32;9415.73;2555.82
Chequing;Donnée;2026-03-10;;Cheque Expense;101;2058;Kristina Gibson;38;;-Split-;;-2471.88;83.94
Chequing;Donnée;2026-03-13;;Cheque Expense;100;2057;Michelle Long;44;;Owner's Equity - Draws;81;-500.00;-416.06
Chequing;Donnée;2026-03-13;;Cheque Expense;105;2060;Town Electric & Gas Service;55;;-Split-;;-226.55;-642.61
Chequing;Donnée;2026-03-13;;Cheque Expense;106;2061;Bank of AnyCity;57;;-Split-;;-471.78;-1114.39
Chequing;Donnée;2026-03-13;;Cheque Expense;104;2059;Mark Howard;42;;-Split-;;-1412.50;-2526.89
Chequing;Donnée;2026-03-23;;Cheque Expense;107;2062;Cass Hayden;27;;-Split-;;-847.50;-3374.39
Chequing;Donnée;2026-03-23;;Cheque Expense;108;2063;Michelle Long;44;;Owner's Equity - Draws;81;-500.00;-3874.39
Chequing;Donnée;2026-03-24;;Cheque Expense;162;2067;Mark Howard;42;;-Split-;;-1412.50;-5286.89
Chequing;Donnée;2026-03-24;;Cheque Expense;164;2069;City Water Co;29;;-Split-;;-83.86;-5370.75
Chequing;Donnée;2026-03-24;;Cheque Expense;163;2068;Town Electric & Gas Service;55;;-Split-;;-229.14;-5599.89
Chequing;Donnée;2026-03-24;;Cheque Expense;165;2070;Bank of AnyCity;57;;-Split-;;-471.78;-6071.67
Chequing;Donnée;2026-03-24;;Cheque Expense;166;2071;Michelle Long;44;;Owner's Equity - Draws;81;-500.00;-6571.67
Chequing;Donnée;2026-03-28;;Cheque Expense;109;2064;Jacque Hudspeth;33;;-Split-;;-14125.00;-20696.67
Chequing;Donnée;2026-03-28;;Cheque Expense;113;2066;Mauro Giansiracusa;43;;-Split-;;-847.50;-21544.17
Chequing;Donnée;2026-03-28;;Cheque Expense;111;2065;Garcia's Event Space;41;;-Split-;;-2825.00;-24369.17
Chequing;Donnée;2026-04-21;;Payment;179;;Whitehead and Sons;5;;Accounts Receivable;32;1356.00;-23013.17
Chequing;Donnée;2026-04-24;;Cheque Expense;170;2075;Bank of AnyCity;57;;-Split-;;-471.78;-23484.95
Chequing;Donnée;2026-04-24;;Cheque Expense;167;2072;Mark Howard;42;;-Split-;;-1412.50;-24897.45
Chequing;Donnée;2026-04-24;;Cheque Expense;171;2076;Michelle Long;44;;Owner's Equity - Draws;81;-500.00;-25397.45
Chequing;Donnée;2026-04-24;;Cheque Expense;168;2073;Town Electric & Gas Service;55;;-Split-;;-243.54;-25640.99
Chequing;Donnée;2026-04-24;;Cheque Expense;169;2074;City Water Co;29;;-Split-;;-81.19;-25722.18
Chequing;Donnée;2026-05-03;;Payment;181;;Anilkumar Pillai;60;;Accounts Receivable;32;4407.00;-21315.18
Chequing;Donnée;2026-06-09;;Deposit;134;;;;;-Split-;;35000.00;13684.82
Chequing;Donnée;2026-06-12;;Cheque Expense;5;2002;Organization of Outstanding Events;48;;-Split-;;-367.25;13317.57
Chequing;Donnée;2026-06-12;;Cheque Expense;4;2001;Cass Hayden;27;;-Split-;;-847.50;12470.07
Chequing;Donnée;2026-06-13;;Cheque Expense;6;2003;Mark Howard;42;;-Split-;;-1412.50;11057.57
Chequing;Donnée;2026-06-15;;Cheque Expense;7;2004;Town Electric & Gas Service;55;;-Split-;;-177.34;10880.23
Chequing;Donnée;2026-06-15;;Cheque Expense;8;2005;City Water Co;29;;-Split-;;-60.17;10820.06
