"Name","Company","First Name","Last Name","Email","Phone","Mobile","Website","Billing Street","Billing City","Billing Province","Billing Postal Code","Billing Country","Terms","Account No.","Print on Cheque As","Notes"
"Cascade Chemicals Canada Inc.","Cascade Chemicals Canada Inc.","Jason","Murray","jason.murray@cascade-chemicals-canada-inc.example.com","(709) 555-0151","(709) 555-0133","https://www.cascade-chemicals-canada-inc.example.com","3387 Industrial Drive, bureau 624","St. John's","NL","A6A 2P3","Canada","Net 15","CAS-05611","Cascade Chemicals Canada Inc.","Fournisseurs - test data"
"Keystone Chemicals Group Inc.","Keystone Chemicals Group Inc.","Hannah","Kowalski","hannah.kowalski@keystone-chemicals-group-inc.example.com","(902) 555-0154","","https://www.keystone-chemicals-group-inc.example.com","430 Industrial Drive","Dartmouth","NS","B6R 9E8","Canada","Net 30","KEY-10910","Keystone Chemicals Group Inc.","Fournisseurs - test data"
"Ridgeway Hydraulics Ltd.","Ridgeway Hydraulics Ltd.","Hannah","Bennett","hannah.bennett@ridgeway-hydraulics-ltd.example.com","(902) 555-0158","","https://www.ridgeway-hydraulics-ltd.example.com","788 Burnhamthorpe Road","Summerside","PE","C9S 5Y7","Canada","Net 30","RID-23065","Ridgeway Hydraulics Ltd.","Fournisseurs - test data"
"Matériaux Bouchard Canada inc.","Matériaux Bouchard Canada inc.","Isabelle","Gagnon","isabelle.gagnon@materiaux-bouchard-canada-inc.example.com","(506) 555-0164","","https://www.materiaux-bouchard-canada-inc.example.com","1143 chemin du Tremblay","Fredericton","NB","E6V 1X0","Canada","Net 30","MAT-76916","Matériaux Bouchard Canada inc.","Fournisseurs — jeu d'essai"
"Plastiques Industriels Canada inc.","Plastiques Industriels Canada inc.","Mathieu","Fortin","mathieu.fortin@plastiques-industriels-canada-inc.example.com","(450) 555-0166","(450) 555-0149","https://www.plastiques-industriels-canada-inc.example.com","1769 avenue Marien, bureau 634","Montréal","QC","H4P 1T6","Canada","Net 15","PLA-98798","Plastiques Industriels Canada inc.","Fournisseurs — jeu d'essai"
"Lubrifiants Côté Québec inc.","Lubrifiants Côté Québec inc.","Geneviève","Côté","genevieve.cote@lubrifiants-cote-quebec-inc.example.com","(581) 555-0184","","https://www.lubrifiants-cote-quebec-inc.example.com","368 boulevard Hymus","Lévis","QC","G1S 2H3","Canada","Net 30","LUB-03108","Lubrifiants Côté Québec inc.","Fournisseurs — jeu d'essai"
"Textiles Chimiques enr.","Textiles Chimiques enr.","Mathieu","Nadeau","mathieu.nadeau@textiles-chimiques-enr.example.com","(873) 555-0197","","https://www.textiles-chimiques-enr.example.com","3804 chemin du Tremblay","Sherbrooke","QC","J6P 7K8","Canada","Net 15","TEX-86774","Textiles Chimiques enr.","Fournisseurs — jeu d'essai"
"Kowalski Supply Co. Corp.","Kowalski Supply Co. Corp.","Laura","Kowalski","laura.kowalski@kowalski-supply-co-corp.example.com","(416) 555-0139","","https://www.kowalski-supply-co-corp.example.com","3798 Kennedy Road","Toronto","ON","M4M 2N7","Canada","Net 15","KOW-65267","Kowalski Supply Co. Corp.","Fournisseurs - test data"
"Continental Packaging Holdings Ltd.","Continental Packaging Holdings Ltd.","Andrew","Taylor","andrew.taylor@continental-packaging-holdings-ltd.example.com","(365) 555-0132","","https://www.continental-packaging-holdings-ltd.example.com","1270 Commerce Court","Barrie","ON","L3J 2Y5","Canada","Due on receipt","CON-37783","Continental Packaging Holdings Ltd.","Fournisseurs - test data"
"Sentinel Fasteners Group Inc.","Sentinel Fasteners Group Inc.","Daniel","Brown","daniel.brown@sentinel-fasteners-group-inc.example.com","(343) 555-0117","","https://www.sentinel-fasteners-group-inc.example.com","3452 Kennedy Road","Kingston","ON","K8W 7E6","Canada","2% 10 Net 30","SEN-19325","Sentinel Fasteners Group Inc.","Fournisseurs - test data"
"Nguyen Abrasives Corp.","Nguyen Abrasives Corp.","Michael","Campbell","michael.campbell@nguyen-abrasives-corp.example.com","(548) 555-0194","(548) 555-0195","https://www.nguyen-abrasives-corp.example.com","2311 Dixie Road","Guelph","ON","N7R 7T4","Canada","Net 30","NGU-76380","Nguyen Abrasives Corp.","Fournisseurs - test data"
"Hughes Industries Holdings Ltd.","Hughes Industries Holdings Ltd.","Megan","Clarke","megan.clarke@hughes-industries-holdings-ltd.example.com","(249) 555-0123","","https://www.hughes-industries-holdings-ltd.example.com","4234 Foundry Road, bureau 946","North Bay","ON","P5E 1G5","Canada","Net 30","HUG-06600","Hughes Industries Holdings Ltd.","Fournisseurs - test data"
"Murray Bearings Canada Inc.","Murray Bearings Canada Inc.","Karen","Taylor","karen.taylor@murray-bearings-canada-inc.example.com","(204) 555-0115","","https://www.murray-bearings-canada-inc.example.com","2571 Kennedy Road","Steinbach","MB","R2A 9M0","Canada","Net 30","MUR-33390","Murray Bearings Canada Inc.","Fournisseurs - test data"
"Cascade Manufacturing Inc.","Cascade Manufacturing Inc.","Emily","Singh","emily.singh@cascade-manufacturing-inc.example.com","(639) 555-0170","","https://www.cascade-manufacturing-inc.example.com","654 Enterprise Boulevard, bureau 541","Regina","SK","S5C 3R3","Canada","Net 30","CAS-92861","Cascade Manufacturing Inc.","Fournisseurs - test data"
"Anderson Industries Inc.","Anderson Industries Inc.","Jessica","Wilson","jessica.wilson@anderson-industries-inc.example.com","(780) 555-0198","(780) 555-0184","https://www.anderson-industries-inc.example.com","869 Foundry Road","Red Deer","AB","T6E 9J2","Canada","Net 30","AND-08402","Anderson Industries Inc.","Fournisseurs - test data"
"Vanguard Freight Inc.","Vanguard Freight Inc.","James","Smith","james.smith@vanguard-freight-inc.example.com","(604) 555-0173","","https://www.vanguard-freight-inc.example.com","1800 Steeles Avenue East","Burnaby","BC","V6W 0T5","Canada","Net 15","VAN-94245","Vanguard Freight Inc.","Fournisseurs - test data"
"Smith Freight Ltd.","Smith Freight Ltd.","Hannah","Reid","hannah.reid@smith-freight-ltd.example.com","(867) 555-0160","(867) 555-0141","https://www.smith-freight-ltd.example.com","4260 Enterprise Boulevard","Whitehorse","YT","Y1W 4G4","Canada","Net 15","SMI-17961","Smith Freight Ltd.","Fournisseurs - test data"
"Atlantic Distributors Canada Inc.","Atlantic Distributors Canada Inc.","Nicole","Fraser","nicole.fraser@atlantic-distributors-canada-inc.example.com","(867) 555-0110","","https://www.atlantic-distributors-canada-inc.example.com","1887 Logistics Way","Hay River","NT","X0A 9J9","Canada","2% 10 Net 30","ATL-35974","Atlantic Distributors Canada Inc.","Fournisseurs - test data"
"Bluewater Lumber Canada Inc.","Bluewater Lumber Canada Inc.","Rachel","Campbell","rachel.campbell@bluewater-lumber-canada-inc.example.com","(867) 555-0160","","https://www.bluewater-lumber-canada-inc.example.com","2584 Dixie Road","Rankin Inlet","NU","X1A 1K7","Canada","Net 15","BLU-34167","Bluewater Lumber Canada Inc.","Fournisseurs - test data"
"Hughes Chemicals Group Inc.","Hughes Chemicals Group Inc.","Hannah","Chen","hannah.chen@hughes-chemicals-group-inc.example.com","(250) 555-0119","(250) 555-0193","https://www.hughes-chemicals-group-inc.example.com","303 Steeles Avenue East, bureau 921","Burnaby","BC","V0K 5A9","Canada","Due on receipt","HUG-59473","Hughes Chemicals Group Inc.","Fournisseurs - test data"
"Great Lakes Adhesives Corp.","Great Lakes Adhesives Corp.","Steven","Hughes","steven.hughes@great-lakes-adhesives-corp.example.com","(250) 555-0153","","https://www.great-lakes-adhesives-corp.example.com","4048 Industrial Drive","Richmond","BC","V4B 6L2","Canada","Net 30","GRE-85730","Great Lakes Adhesives Corp.","Fournisseurs - test data"
"Apex Fasteners Ltd.","Apex Fasteners Ltd.","Daniel","Murray","daniel.murray@apex-fasteners-ltd.example.com","(825) 555-0128","(825) 555-0134","https://www.apex-fasteners-ltd.example.com","3419 Dixie Road","Calgary","AB","T2L 6S5","Canada","Due on receipt","APE-21353","Apex Fasteners Ltd.","Fournisseurs - test data"
"Nguyen Distributors Corp.","Nguyen Distributors Corp.","Jessica","Clarke","jessica.clarke@nguyen-distributors-corp.example.com","(437) 555-0165","","https://www.nguyen-distributors-corp.example.com","318 Burnhamthorpe Road","Scarborough","ON","M2H 2J5","Canada","Net 30","NGU-50128","Nguyen Distributors Corp.","Fournisseurs - test data"
"Sterling Wholesale Corp.","Sterling Wholesale Corp.","Jessica","Stewart","jessica.stewart@sterling-wholesale-corp.example.com","(778) 555-0177","","https://www.sterling-wholesale-corp.example.com","2198 Burnhamthorpe Road, bureau 935","Richmond","BC","V1B 7P9","Canada","Net 15","STE-10112","Sterling Wholesale Corp.","Fournisseurs - test data"
"Clarke Industries Inc.","Clarke Industries Inc.","Kevin","Murray","kevin.murray@clarke-industries-inc.example.com","(437) 555-0114","","https://www.clarke-industries-inc.example.com","3808 Commerce Court","North York","ON","M0A 2J2","Canada","Net 15","CLA-91072","Clarke Industries Inc.","Fournisseurs - test data"
"Ridgeway Industries Ltd.","Ridgeway Industries Ltd.","Kevin","Singh","kevin.singh@ridgeway-industries-ltd.example.com","(647) 555-0148","","https://www.ridgeway-industries-ltd.example.com","2177 Burnhamthorpe Road","Toronto","ON","M3R 3W2","Canada","Net 15","RID-42851","Ridgeway Industries Ltd.","Fournisseurs - test data"
